date,cases_jp,deaths_jp,cases_ch,deaths_ch,cases_tr,deaths_tr,cases_uk,deaths_uk,cases_fr,deaths_fr,cases_it,deaths_it,cases_us,deaths_us,cases_de,deaths_de,cases_sk,deaths_sk,cases_ir,deaths_ir,cases_es,deaths_es,cases_ny,deaths_ny,cases_be,deaths_be,cases_nl,deaths_nl,cases_ca,deaths_ca,cases_se,deaths_se,cases_by,deaths_by,cases_sg,deaths_sg,cases_ma,deaths_ma,cases_nh,deaths_nh,cases_ga,deaths_ga,cases_cn,deaths_cn,cases_ru,deaths_ru,cases_br,deaths_br,cases_pt,deaths_pt,cases_in,deaths_in,cases_pl,deaths_pl,cases_ie,deaths_ie,cases_at,deaths_at,cases_il,deaths_il,cases_ro,deaths_ro,cases_hk,deaths_hk,cases_tw,deaths_tw
2020-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-01-23,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,830,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
2020-01-24,3,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1287,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
2020-01-25,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1975,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0
2020-01-26,4,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,2744,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0
2020-01-27,6,0,0,0,0,0,0,0,3,0,0,0,5,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,4515,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0
2020-01-28,7,0,0,0,0,0,0,0,4,0,0,0,5,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,5974,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0
2020-01-29,11,0,0,0,0,0,0,0,5,0,0,0,5,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,7711,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0
2020-01-30,14,0,0,0,0,0,0,0,6,0,0,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,9692,213,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,9,0
2020-01-31,17,0,0,0,0,0,2,0,6,0,2,0,7,0,7,0,11,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,16,0,0,0,0,0,0,0,11791,259,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,10,0
2020-02-01,20,0,0,0,0,0,2,0,6,0,2,0,8,0,10,0,12,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,18,0,1,0,0,0,0,0,14380,304,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,10,0
2020-02-02,20,0,0,0,0,0,2,0,6,0,2,0,11,0,10,0,15,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,18,0,1,0,0,0,0,0,17205,361,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0
2020-02-03,20,0,0,0,0,0,2,0,6,0,2,0,11,0,12,0,15,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,18,0,1,0,0,0,0,0,20440,425,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,0,10,0
2020-02-04,23,0,0,0,0,0,2,0,6,0,2,0,11,0,12,0,16,0,0,0,1,0,0,0,1,0,0,0,5,0,1,0,0,0,24,0,1,0,0,0,0,0,24324,490,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,1,11,0
2020-02-05,25,0,0,0,0,0,2,0,6,0,2,0,12,0,13,0,19,0,0,0,1,0,0,0,1,0,0,0,5,0,1,0,0,0,28,0,1,0,0,0,0,0,28018,563,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,21,1,11,0
