AREA,SUB AREA,AGE GROUP,SEASON,WEEK,WEEK RN,THRESHOLD,BASELINE,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2019-20,40,1,5.7,5.3,5.2,16,2707,52465,> 100%
National,,All,2019-20,41,2,5.7,5.4,5.3,16,2770,52870,> 100%
National,,All,2019-20,42,3,5.8,5.5,5.5,18,2978,54143,> 100%
National,,All,2019-20,43,4,5.9,5.6,5.6,30,2986,53922,> 100%
National,,All,2019-20,44,5,6,5.7,5.4,31,2908,54000,> 100%
National,,All,2019-20,45,6,6.2,5.8,5.6,31,3064,55502,> 100%
National,,All,2019-20,46,7,6.3,5.9,5.6,39,3097,55711,> 100%
National,,All,2019-20,47,8,6.4,6,5.4,50,2996,56038,> 100%
National,,All,2019-20,48,9,6.5,6.2,5.5,65,2979,55267,> 100%
National,,All,2019-20,49,10,6.6,6.3,6,99,3307,57034,> 100%
National,,All,2019-20,50,11,6.7,6.4,6.2,111,3452,57319,> 100%
National,,All,2019-20,51,12,6.8,6.5,6.1,125,3350,57065,> 100%
National,,All,2019-20,52,13,6.9,6.6,6.3,198,3482,58053,> 100%
National,,All,2019-20,1,14,7,6.7,7.5,417,4011,59087,> 100%
National,,All,2019-20,2,15,7.1,6.7,7.5,455,4007,59151,> 100%
National,,All,2019-20,3,16,7.2,6.8,7.6,445,3913,57616,> 100%
National,,All,2019-20,4,17,7.2,6.9,7.4,470,3755,57000,> 100%
National,,All,2019-20,5,18,7.3,6.9,7.2,453,3626,56426,> 100%
National,,All,2019-20,6,19,7.3,7,7.2,487,3624,56962,> 100%
National,,All,2019-20,7,20,7.3,7,7.4,498,3627,55981,> 100%
National,,All,2019-20,8,21,7.3,7,7.2,516,3480,55494,> 100%
National,,All,2019-20,9,22,7.3,7,7.4,583,3501,54834,> 100%
National,,All,2019-20,10,23,7.3,7,7.7,561,3590,54157,> 100%
National,,All,2019-20,11,24,7.3,6.9,7.9,550,3553,52198,> 100%
National,,All,2019-20,12,25,7.2,6.9,8.6,474,3947,51602,> 100%
National,,All,2019-20,13,26,7.1,6.8,10.3,355,5016,52285,> 100%
National,,All,2019-20,14,27,7.1,6.7,12.9,342,6017,49292,> 100%
National,,All,2019-20,15,28,7,6.7,11.9,206,3081,27688,58.2%
National,,All,2018-19,40,1,5.9,5.5,5.7,10,2969,52357,> 100%
National,,All,2018-19,41,2,5.9,5.6,5.6,12,2866,51849,> 100%
National,,All,2018-19,42,3,6,5.7,5.7,18,2987,52979,> 100%
National,,All,2018-19,43,4,6.1,5.8,5.7,24,3065,53763,> 100%
National,,All,2018-19,44,5,6.2,5.9,5.6,25,3003,53638,> 100%
National,,All,2018-19,45,6,6.3,6,5.7,30,3020,53561,> 100%
National,,All,2018-19,46,7,6.5,6.1,5.8,26,3142,54698,> 100%
National,,All,2018-19,47,8,6.6,6.2,5.9,31,3178,54847,> 100%
National,,All,2018-19,48,9,6.7,6.3,6,38,3287,55060,> 100%
National,,All,2018-19,49,10,6.8,6.4,6.2,56,3399,55967,> 100%
National,,All,2018-19,50,11,6.9,6.6,6.4,51,3552,56387,> 100%
National,,All,2018-19,51,12,7,6.7,6.3,88,3490,56528,> 100%
National,,All,2018-19,52,13,7.1,6.7,6.7,141,3635,56026,> 100%
National,,All,2018-19,1,14,7.2,6.8,7.1,211,3917,58291,> 100%
National,,All,2018-19,2,15,7.3,6.9,7.4,259,4056,58351,> 100%
National,,All,2018-19,3,16,7.3,7,7.5,246,4094,58194,> 100%
National,,All,2018-19,4,17,7.4,7,7.2,275,3894,57837,> 100%
National,,All,2018-19,5,18,7.4,7.1,7.2,326,3888,58128,> 100%
